GeneID	Length	CD24-L-4
497097	3634	0
100503874	3259	0
100038431	1634	0
19888	9747	82
20671	3130	270
27395	4203	186
18777	2433	309
100503730	799	2
21399	2847	211
58175	2241	3
108664	1976	722
18387	4707	1
226304	3692	0
12421	7046	673
620393	858	6
240690	6161	0
319263	5232	732
71096	4193	0
59014	2048	165
76187	3139	163
72481	1246	17
76982	3187	1
17864	3564	8
70675	5179	274
73331	1494	3
170755	5622	162
620986	451	21
240697	2553	1
73824	407	113
266793	74	3
100038398	2646	9
100039596	501	2
69312	1502	52
26754	1240	562
211660	4354	640
211673	7042	1320
329093	1930	0
109294	11187	609
320492	8293	121
329096	3200	0
240725	4864	205
240726	8512	10
383491	2593	0
17978	8213	639
72265	2888	1469
212442	1889	251
381246	1926	0
433273	1245	0
14048	4345	259
17681	1717	19
277328	4263	0
98741	5309	3
21749	1633	244
226866	2748	5
665434	572	0
75799	717	27
19989	934	2970
98711	2295	761
29819	2890	88
66799	2354	310
67923	955	413
329101	2788	3
70397	1732	217
17087	603	31
57339	4809	29
14545	3938	0
94227	6923	88
83691	4006	8
78081	1192	0
654454	222	0
654460	258	0
77673	469	0
654464	256	0
226896	1753	0
21419	6391	0
241035	12928	43
75028	786	0
387202	73	0
723817	119	0
16171	1171	0
257630	1178	0
17215	2886	94
77741	1120	10
74229	4420	215
71877	2208	486
170829	1409	22
75712	1112	66
14859	1450	5405
241041	1148	118
368204	1950	0
433278	844	0
98582	2247	0
226922	6980	10
116837	4066	0
66755	1781	0
387225	71	0
723964	84	0
70155	4844	108
100503399	1522	0
280645	4362	26
98366	2259	214
68002	667	142
68187	6467	366
12839	3888	0
12823	10542	1
68421	5392	822
210933	5522	0
100504323	1551	0
210940	4331	0
433281	2004	0
665903	467	43
210962	2882	0
623924	306	0
791350	1160	3
213109	7561	1115
19243	4129	1137
70988	1094	4
266744	1903	2
74708	1449	1
226957	914	0
624262	762	1
170771	1359	0
408192	1437	0
408191	3748	0
19076	1937	57
67503	889	3
19335	4487	215
213539	1815	194
98403	3650	216
433287	3016	44
320705	2292	7
13518	23242	1922
100628580	79	0
69668	1705	139
27993	2249	205
52318	3559	78
19253	1578	627
21755	1246	0
12627	1038	1
21756	1301	0
211383	4356	0
241051	2676	0
226970	2714	57
214469	5080	1297
226971	5469	756
50785	3719	596
320011	9029	760
214854	2583	246
214855	5699	738
226976	4663	841
214895	2225	331
94220	4582	149
94218	5283	268
78321	1954	119
109346	1786	103
20353	3805	333
381337	2577	11
12859	569	229
226977	2077	698
71166	1127	3
22637	2180	140
56030	6548	720
70853	4422	237
12790	3498	2
269180	6817	372
76178	3862	463
67387	1412	397
269181	7054	353
77633	2755	0
100861893	736	0
72097	4361	863
100503734	2218	2
211484	3400	222
623661	1555	47
69028	1229	177
107734	691	303
332427	2564	0
69541	798	0
98258	4596	400
226982	7797	1248
56210	4262	148
16764	6010	134
381338	5077	2
98388	3120	1
100503760	2386	0
433292	1001	0
68833	1706	525
18143	4180	354
114641	1254	46
54610	4440	660
52846	3170	259
100217461	94	6
67702	2434	495
263764	5799	3
619289	2000	1
100042065	359	0
73426	531	0
26921	5974	977
100047133	858	2
16178	1343	22
16177	5035	793
107527	1950	95
17082	6967	0
16182	4781	2036
16174	2487	29
110895	3822	15
226999	3493	51
211798	3152	96
381339	1096	0
74897	573	0
66297	546	0
18993	3065	1
73100	2841	0
69527	1419	321
93690	3860	0
73122	5538	464
98404	3457	230
14200	1563	109
666642	647	1
17974	2775	329
