GeneID	Length	EpCAM-P-4
497097	3634	4
100503874	3259	0
100038431	1634	0
19888	9747	14
20671	3130	59
27395	4203	201
18777	2433	472
100503730	799	2
21399	2847	225
58175	2241	1
108664	1976	884
18387	4707	0
226304	3692	0
12421	7046	723
620393	858	43
240690	6161	1
319263	5232	881
71096	4193	0
59014	2048	120
76187	3139	89
72481	1246	2
76982	3187	0
17864	3564	11
70675	5179	265
73331	1494	2
170755	5622	106
620986	451	20
240697	2553	0
73824	407	98
266793	74	0
100038398	2646	34
100039596	501	1
69312	1502	0
26754	1240	497
211660	4354	254
211673	7042	1650
329093	1930	0
109294	11187	710
320492	8293	3
329096	3200	0
240725	4864	76
240726	8512	19
383491	2593	2
17978	8213	909
72265	2888	1875
212442	1889	532
381246	1926	0
433273	1245	1
14048	4345	243
17681	1717	5
277328	4263	0
98741	5309	2
21749	1633	192
226866	2748	0
665434	572	0
75799	717	0
19989	934	4188
98711	2295	392
29819	2890	98
66799	2354	333
67923	955	386
329101	2788	0
70397	1732	298
17087	603	40
57339	4809	45
14545	3938	1
94227	6923	77
83691	4006	3
78081	1192	0
654454	222	0
654460	258	0
77673	469	0
654464	256	0
226896	1753	0
21419	6391	0
241035	12928	15
75028	786	0
387202	73	0
723817	119	0
16171	1171	0
257630	1178	0
17215	2886	98
77741	1120	18
74229	4420	1716
71877	2208	36
170829	1409	12
75712	1112	63
14859	1450	640
241041	1148	164
368204	1950	0
433278	844	1
98582	2247	0
226922	6980	3
116837	4066	5
66755	1781	0
387225	71	0
723964	84	0
70155	4844	318
100503399	1522	0
280645	4362	51
98366	2259	283
68002	667	155
68187	6467	380
12839	3888	1
12823	10542	0
68421	5392	973
210933	5522	0
100504323	1551	0
210940	4331	0
433281	2004	0
665903	467	45
210962	2882	0
623924	306	0
791350	1160	27
213109	7561	1097
19243	4129	744
70988	1094	0
266744	1903	0
74708	1449	0
226957	914	0
624262	762	0
170771	1359	0
408192	1437	0
408191	3748	0
19076	1937	80
67503	889	11
19335	4487	135
213539	1815	111
98403	3650	191
433287	3016	55
320705	2292	0
13518	23242	2155
100628580	79	1
69668	1705	167
27993	2249	224
52318	3559	109
19253	1578	575
21755	1246	0
12627	1038	0
21756	1301	0
211383	4356	1
241051	2676	0
226970	2714	116
214469	5080	2805
226971	5469	2393
50785	3719	656
