GeneID	Length	Ngfr-P-3
497097	3634	123
100503874	3259	1
100038431	1634	1
19888	9747	1
20671	3130	0
27395	4203	671
18777	2433	1880
100503730	799	7
21399	2847	822
58175	2241	4
108664	1976	1956
18387	4707	0
226304	3692	2
12421	7046	4167
620393	858	0
240690	6161	44
319263	5232	3067
71096	4193	0
59014	2048	958
76187	3139	23
72481	1246	4
76982	3187	0
17864	3564	151
70675	5179	1874
73331	1494	0
170755	5622	1885
620986	451	74
240697	2553	12
73824	407	215
266793	74	7
100038398	2646	51
100039596	501	11
69312	1502	7
26754	1240	1541
211660	4354	1507
211673	7042	8627
329093	1930	0
109294	11187	7
320492	8293	2
329096	3200	0
240725	4864	2377
240726	8512	11
383491	2593	1
17978	8213	3649
72265	2888	2719
212442	1889	512
381246	1926	0
433273	1245	1
14048	4345	1906
17681	1717	1
277328	4263	0
98741	5309	65
21749	1633	924
226866	2748	16
665434	572	0
75799	717	2
19989	934	10543
98711	2295	1620
29819	2890	427
66799	2354	1093
67923	955	1154
329101	2788	0
70397	1732	843
17087	603	144
57339	4809	252
14545	3938	6
94227	6923	2
83691	4006	3
78081	1192	0
654454	222	0
654460	258	0
77673	469	0
654464	256	0
226896	1753	0
21419	6391	0
241035	12928	17
75028	786	0
387202	73	0
723817	119	0
16171	1171	0
257630	1178	1
17215	2886	631
77741	1120	5
74229	4420	1262
71877	2208	58
170829	1409	83
75712	1112	96
14859	1450	11956
241041	1148	0
368204	1950	0
433278	844	0
98582	2247	0
226922	6980	136
116837	4066	0
66755	1781	0
387225	71	1
723964	84	5
70155	4844	724
100503399	1522	0
280645	4362	62
98366	2259	1042
68002	667	206
68187	6467	1646
12839	3888	0
12823	10542	0
68421	5392	1980
210933	5522	2
100504323	1551	0
210940	4331	0
433281	2004	0
665903	467	55
210962	2882	0
623924	306	0
791350	1160	6
213109	7561	7702
19243	4129	4058
70988	1094	20
266744	1903	0
74708	1449	0
226957	914	0
624262	762	0
170771	1359	1
408192	1437	0
408191	3748	0
19076	1937	340
67503	889	6
19335	4487	693
213539	1815	620
98403	3650	967
433287	3016	168
320705	2292	7
13518	23242	25626
100628580	79	4
69668	1705	480
27993	2249	1046
52318	3559	345
19253	1578	803
21755	1246	0
12627	1038	6
21756	1301	0
211383	4356	0
241051	2676	0
226970	2714	759
214469	5080	6724
226971	5469	4157
50785	3719	5378
320011	9029	3473
214854	2583	185
214855	5699	3528
226976	4663	3279
214895	2225	933
94220	4582	1152
94218	5283	1082
78321	1954	271
109346	1786	273
20353	3805	1756
381337	2577	12
12859	569	767
226977	2077	2388
71166	1127	11
22637	2180	3
56030	6548	6527
70853	4422	1
12790	3498	0
269180	6817	781
76178	3862	1656
67387	1412	1149
269181	7054	10530
