GeneID	Length	Ngfr-N-3
497097	3634	21
100503874	3259	0
100038431	1634	0
19888	9747	67
20671	3130	0
27395	4203	592
18777	2433	1304
100503730	799	6
21399	2847	718
58175	2241	26
108664	1976	2292
18387	4707	0
226304	3692	1
12421	7046	2596
620393	858	0
240690	6161	122
319263	5232	2139
71096	4193	0
59014	2048	627
76187	3139	54
72481	1246	5
76982	3187	0
17864	3564	55
70675	5179	1488
73331	1494	3
170755	5622	906
620986	451	99
240697	2553	7
73824	407	161
266793	74	3
100038398	2646	148
100039596	501	20
69312	1502	53
26754	1240	1794
211660	4354	1296
211673	7042	6054
329093	1930	1
109294	11187	20
320492	8293	22
329096	3200	0
240725	4864	645
240726	8512	7
383491	2593	0
17978	8213	2576
72265	2888	4190
212442	1889	679
381246	1926	2
433273	1245	1
14048	4345	2668
17681	1717	15
277328	4263	0
98741	5309	48
21749	1633	935
226866	2748	9
665434	572	0
75799	717	56
19989	934	6625
98711	2295	4600
29819	2890	377
66799	2354	1016
67923	955	927
329101	2788	0
70397	1732	741
17087	603	188
57339	4809	140
14545	3938	14
94227	6923	7
83691	4006	4
78081	1192	0
654454	222	0
654460	258	0
77673	469	0
654464	256	0
226896	1753	0
21419	6391	0
241035	12928	40
75028	786	0
387202	73	0
723817	119	0
16171	1171	10
257630	1178	2
17215	2886	292
77741	1120	3
74229	4420	922
71877	2208	525
170829	1409	34
75712	1112	118
14859	1450	27080
241041	1148	1
368204	1950	0
433278	844	0
98582	2247	0
226922	6980	7
116837	4066	5
66755	1781	0
387225	71	0
723964	84	7
70155	4844	529
100503399	1522	0
280645	4362	41
98366	2259	838
68002	667	254
68187	6467	1077
12839	3888	5
12823	10542	4
68421	5392	2210
210933	5522	6
100504323	1551	0
210940	4331	0
433281	2004	0
665903	467	51
210962	2882	0
623924	306	0
791350	1160	4
213109	7561	5265
19243	4129	4770
70988	1094	66
266744	1903	1
74708	1449	0
226957	914	0
624262	762	0
170771	1359	3
408192	1437	0
408191	3748	0
19076	1937	187
67503	889	2
19335	4487	470
213539	1815	1023
98403	3650	657
433287	3016	146
320705	2292	1
13518	23242	5560
100628580	79	0
69668	1705	417
27993	2249	823
52318	3559	300
19253	1578	2308
21755	1246	0
12627	1038	21
21756	1301	0
211383	4356	4
241051	2676	0
226970	2714	268
214469	5080	4178
226971	5469	5210
50785	3719	1874
320011	9029	2965
214854	2583	167
214855	5699	1731
226976	4663	2014
214895	2225	1031
94220	4582	1119
94218	5283	797
78321	1954	169
109346	1786	195
20353	3805	652
381337	2577	10
12859	569	691
226977	2077	2124
71166	1127	2
22637	2180	35
56030	6548	3555
70853	4422	100
12790	3498	0
269180	6817	555
76178	3862	1899
67387	1412	1129
269181	7054	4326
77633	2755	14
100861893	736	0
72097	4361	3582
100503734	2218	1
211484	3400	281
623661	1555	106
69028	1229	609
107734	691	982
332427	2564	0
69541	798	0
98258	4596	1488
226982	7797	4236
56210	4262	661
16764	6010	65
381338	5077	6
98388	3120	9
100503760	2386	0
433292	1001	0
68833	1706	1392
18143	4180	2675
114641	1254	183
54610	4440	1662
52846	3170	1062
100217461	94	5
67702	2434	1428
263764	5799	6
619289	2000	0
100042065	359	0
73426	531	0
26921	5974	1831
100047133	858	5
16178	1343	143
16177	5035	1852
107527	1950	784
17082	6967	5
16182	4781	3178
16174	2487	32
110895	3822	758
226999	3493	190
211798	3152	458
381339	1096	1
74897	573	0
66297	546	0
18993	3065	0
73100	2841	0
69527	1419	597
93690	3860	0
73122	5538	1877
98404	3457	708
14200	1563	533
666642	647	6
17974	2775	1061
100861934	1421	7
78896	888	13
67883	1263	405
100503192	585	400
22019	4649	2851
433294	1086	5
75623	1265	220
72050	2324	356
246229	3571	591
22592	4010	683
100861960	766	0
403183	3181	0
70676	2976	201
75066	906	0
12825	5564	519
12832	6615	74
73674	2612	1122
433297	641	448
53945	3380	298
100042453	717	1
212225	3483	1
227058	12318	340
100101919	12384	231
227059	4961	1087
442837	542	0
56363	3339	1
442821	2552	1
20324	3055	2764
109019	2838	1239
100045066	3051	5
17912	5042	2350
20849	2981	31
100042634	432	2
20846	5356	3151
14660	7488	3158
17936	5088	2582
227094	3394	333
98682	5591	4691
16329	1776	446
227095	1704	1277
67080	834	25
17700	2682	39
69397	627	1
227099	3032	132
227102	1846	551
72085	2283	184
70396	2362	794
627872	12272	80
98267	3278	667
329152	11336	9
78016	3807	60
98488	3005	505
241062	10579	328
329154	6140	480
81898	6192	11164
67876	1733	2033
15510	2332	2999
15528	768	750
19070	2826	1889
74013	3677	16
212679	2882	210
75388	1258	0
227120	6555	18
626009	1369	168
329159	1906	0
71066	1408	0
212712	5286	72
329160	3728	19
407809	3304	0
75323	2052	6
73467	3008	214
68736	1442	241
68115	1325	448
67198	4045	2075
51960	2733	309
68549	5416	145
11761	4382	2358
71724	4360	31257
71872	4973	22
213043	4776	3
66882	2833	4925
12747	3088	6926
70225	1630	360
65102	2105	539
18393	3371	680
100504455	2126	1
213056	8695	928
66495	532	878
100504501	936	25
108812	1579	14
12633	7814	1911
12370	2777	859
70827	6240	1404
227154	2318	420
73463	2131	1
381259	1972	258
227157	3087	5
74018	7038	1021
271697	1477	0
14369	4809	415
381260	3595	278
22218	1215	1427
55989	1976	1971
100217459	53	3
100217421	63	5
12168	3507	1120
100504533	314	105
72750	5532	1539
70375	3650	24
57750	3376	300
241066	2604	166
100504573	431	70
269198	12108	2145
77951	1501	555
329165	5974	933
77300	9117	574
100043027	207	5
100042533	791	0
12487	4317	16
100504618	845	0
12477	1931	18
54167	3254	29
77341	892	0
72823	8392	711
18187	8122	80
74992	895	0
227195	13529	2294
100380944	1802	33
100504668	1301	15
227197	2927	2261
55949	1933	6644
100217464	113	31
241070	1606	1
73884	12621	64
23792	6879	2
241073	2427	2
76668	1711	121
75619	3205	472
74426	1756	5
433315	1432	0
93691	1344	159
12912	8421	1897
67099	2666	462
69941	713	19
227210	2927	513
14367	6914	1228
241075	8562	431
70861	1353	0
667276	1020	2
12968	642	0
12967	635	0
12966	612	0
12965	605	0
12964	615	0
98303	2180	3
15926	2438	10345
18711	11255	1678
213527	2414	1
12969	622	0
17756	5520	1596
100038569	1663	2
329178	13533	47
66646	2630	1219
68691	4760	1181
11363	1892	5886
100862127	515	0
17901	1111	1
14768	4461	1643
227231	4704	4
13869	4257	93
100502712	2069	0
22779	9424	2397
66722	2270	124
320460	4655	0
12021	5448	64
74591	8323	16
108147	2611	1348
14268	8312	455
100042814	1193	0
667931	1019	0
71134	1093	1
433319	483	0
381269	2493	180
111175	1186	236
271711	2815	0
22596	2556	1538
381270	4187	163
54380	6715	1342
319695	4573	0
19981	588	1047
16008	1330	49
16011	5854	27404
21958	427	0
69449	571	0
723792	1560	6
78718	551	0
109198	1801	0
21961	9966	1453
435626	2336	13
100862357	817	0
12765	3043	1
227288	1125	1
100316687	67	0
76709	1597	5345
227289	990	0
227290	1820	4548
56695	3501	596
69660	2309	6310
241112	2101	274
18173	2304	25
227292	2776	2487
387219	85	2
22349	3117	51
319651	7196	931
58184	3266	871
18802	3121	10
77264	7472	770
66821	1829	364
57751	1475	939
269209	5235	424
67534	4253	872
104086	1890	124
241113	2832	1
22420	2068	9
22409	1962	140
12570	2704	6
260298	1479	0
12958	702	17
723900	64	0
241116	5718	1435
16147	2444	5
75570	860	108
22626	2059	218
69171	2738	1590
227298	2557	2363
68818	1299	608
74104	2934	1522
245860	3764	1565
52231	2764	626
74577	3451	365
20872	2885	1053
22145	2053	3705
381272	767	4
56812	3203	1869
19275	3535	51
19711	710	9
13437	1946	1780
13346	2150	0
100503248	676	0
11790	11933	24
69080	1528	1592
100862164	449	1
241118	2650	1
74241	3235	1547
319998	2185	248
98733	5770	618
16322	1463	226
71728	4458	1280
20536	4441	414
100862333	771	0
620079	2188	0
13838	6328	694
18505	3868	1
100039210	1208	0
433323	3998	6
23874	2132	2003
68393	1206	9
74205	3950	2799
195434	3981	634
57814	2463	2
20254	2485	137
100862182	832	8
252903	2876	426
69368	4714	761
100038695	1791	1
69163	1424	616
100862198	480	0
20720	2055	129
241128	2862	1
26554	2764	4454
72208	394	0
210293	7303	81
241134	4919	0
16367	9163	666
100503073	3039	5
76867	3757	1256
100503095	2833	1
12829	7808	110
12828	8609	76
75734	1866	1594
66261	1503	3
100044526	654	2
15463	3137	1674
80721	2974	53
71386	992	0
20297	802	289
71227	1670	69
77629	6512	1
98496	2667	79
227325	3632	88
100628595	77	0
14897	9632	8447
66153	900	352
71781	2349	2
100503433	891	0
381287	1760	0
621875	1334	8
100040135	1348	2
665378	1621	54
620078	1971	20
100040213	891	3
100039794	1073	2
665338	891	0
109032	1971	365
434484	2417	106
100503502	852	1
100503045	659	0
20684	2158	1939
319997	1936	85
12283	3800	10681
64294	2024	5901
71141	1148	20
227326	2550	6
70060	1602	0
72792	3331	295
70247	3256	5918
15559	2072	10
78795	5258	395
100861644	653	0
227327	2595	39
383538	483	0
17975	8257	10680
100303740	116	9
80828	68	1
319336	1266	7
14767	1218	0
71863	1721	1
19231	1192	2859
18582	1092	448
26895	2231	411
18159	1042	7
208718	3171	795
11650	2113	0
76768	2337	0
11648	1680	1
13599	2698	1
69453	1999	0
11447	2910	1
11449	1921	0
26987	4928	1404
98363	1805	9
227331	5743	2515
100040591	1349	1835
73234	462	1
53972	3384	1442
319977	1676	24
620454	1602	1
23956	2018	70
16331	4938	195
77040	3180	1437
100217415	248	0
20215	1718	10
100503175	947	1
227333	5694	1825
227334	5316	1085
394430	3242	0
394434	3216	0
394432	3294	17
394435	2293	76
94284	3302	1964
394433	3208	1
22236	3206	0
15504	1017	15
394436	3229	10
100040766	7526	7
381280	8439	298
78605	3662	0
171382	3844	0
75396	870	7
14659	1957	0
100503197	2622	14
320982	3967	3164
78650	476	2
73475	603	0
98402	3673	2184
77331	591	0
347722	9581	1964
74403	3611	0
14472	2126	0
208372	1404	0
74918	3210	256
12778	2579	912
108679	1843	1231
433332	1207	1
12835	10841	66
171531	4484	7053
623503	261	9
19329	1950	468
16978	5743	4627
329207	3851	10
51801	3022	998
67921	1363	1160
665783	892	193
50880	2207	657
227357	5442	12
100503326	684	0
70788	3020	0
227358	2815	38
67444	1368	1393
67086	547	28
55927	1335	1366
18627	5837	5780
74019	3500	1566
65247	6072	833
13345	1312	5
208727	3960	508
67273	1220	1965
259040	939	0
258228	936	0
259041	1189	2
259039	1082	0
258274	966	0
258483	972	0
258484	969	0
257890	1121	14
66915	711	778
260301	704	9
14733	3552	336
100504295	543	0
387167	66	0
241158	3243	65
67446	1491	297
108657	3039	3048
100037260	1689	2
23830	2877	604
64095	4396	81
208760	1088	0
16560	8257	166
11611	1517	19
71874	2362	2190
381284	7348	1407
208777	4474	1767
69821	3315	1787
269224	5119	196
66385	3653	1078
404545	3217	141
110611	6238	17749
18000	3335	4411
227377	3912	466
59041	3254	3088
51800	1432	346
67026	2160	1350
66615	2964	1520
21915	1310	558
66262	4539	1227
98314	3058	590
381334	2846	15
100041596	1185	43
666009	570	3
619597	4059	4
241159	4511	0
18566	1930	26
74689	1565	0
67698	2107	607
20452	5677	21
75381	761	0
100504401	921	4
73454	356	0
75159	583	0
227394	2394	2100
329217	3849	350
67854	2475	0
74441	2433	0
634331	2091	0
634346	2300	2
52392	2738	1462
227399	5565	1799
252876	2041	236
18484	4103	21828
78603	1178	34
69030	1687	0
70866	2328	0
100504494	800	6
241175	5120	8
100504525	886	0
23836	3722	3
320311	8529	66
100504568	1284	2
27392	6777	945
227446	5406	2393
100042023	231	24
21934	5022	487
635504	465	7
227449	6661	1812
626049	545	3
98432	6104	2123
12043	7749	433
320761	1243	1
70750	5582	1721
20479	3272	2741
20724	2565	651
71869	1735	149
241196	1607	0
20248	1629	1
394252	1164	0
383548	1632	0
381286	1659	1
66957	1699	2699
116872	1887	4
18788	2047	1775
241197	3490	301
20725	3289	936
241201	3353	0
227485	3054	2
319901	5763	580
636808	3915	0
634762	729	0
22099	3040	1755
67949	1894	967
76707	7899	1552
68204	597	33
81879	9270	3157
14633	6708	29
16324	4255	1060
100502628	748	0
64143	2277	636
226351	2830	371
226352	7746	1870
19258	4707	494
66343	3301	150
226356	2511	77
319229	1924	0
170706	1017	157
13167	745	1345
73103	1089	44
68428	3177	39
226359	2000	0
17167	1985	0
13798	2554	0
98452	1580	0
72999	2524	1713
70829	7256	1012
15564	2019	0
66942	2249	327
100502702	453	0
269109	4630	0
74117	2746	3042
74150	2597	2815
71111	2690	66
72585	2047	0
210356	7593	39
107895	3104	761
667090	484	85
72160	2517	37
266645	2303	1
100502745	464	1
72949	3514	1981
22625	3936	186
226407	4251	2232
226409	4154	262
226412	4812	1977
387147	70	0
67812	4093	3602
226413	6166	3
17219	2901	873
226414	2509	2287
12767	1814	263
210417	6253	0
100042740	613	39
13137	1324	26
13136	2527	7975
22789	2034	0
12269	1883	7
12270	754	27
18640	9621	6201
226418	3843	394
212439	2909	4916
64435	1911	118
100502856	1065	89
18703	3849	74262
69169	1491	18
93672	1116	0
58181	824	0
329244	1023	0
16153	1306	7
17164	2567	4004
226419	2072	364
16865	2290	1106
54354	3405	347
56489	3203	1005
14270	8040	2071
108900	2105	40
26361	4148	0
13034	2120	16
226421	2523	76
320718	3640	151
212933	3540	236
98396	4660	1368
