A	Coef.CD24HvsEpCAM	Coef.CD24LvsEpCAM	Coef.AirwayvsEpCAM	Coef.CD24HvsCD24L	t.CD24HvsEpCAM	t.CD24LvsEpCAM	t.AirwayvsEpCAM	t.CD24HvsCD24L	p.value.CD24HvsEpCAM	p.value.CD24LvsEpCAM	p.value.AirwayvsEpCAM	p.value.CD24HvsCD24L	Res.CD24HvsEpCAM	Res.CD24LvsEpCAM	Res.AirwayvsEpCAM	Res.CD24HvsCD24L	Genes.ENTREZID	Genes.GENENAME	Genes.SYMBOL	Genes.TXCHROM	Genes.TXSTART	Genes.TXEND
19888	2.46765418024525	6.23532813739919	2.87521704647162	4.55527259193541	3.36011109092758	9.25958959805394	3.02376724587251	6.22064950477386	7.39111767004429	1.59669442357586e-06	0.00640462900840246	4.88948489393165e-05	1.12963278731699e-05	1	1	1	1	19888	retinitis pigmentosa 1 (human)	Rp1	chr1	4290846	4409241
20671	3.04159305157272	0.605471764952856	1.29255797286626	0.949014868909559	-0.687086207913405	0	0.49513338281124	0	0	0.747648366323097	0.317075509136894	0.539108397029109	0.724349012363068	0	0	0	0	20671	SRY (sex determining region Y)-box 17	Sox17	chr1	4490928	4493735
27395	3.99037128652525	-0.212054352550007	0.0777800788274314	-0.0671371368612879	-0.289834431377439	0	0	0	0	0.999934459940247	0.999984577723327	0.999996443031129	0.999838249882294	0	0	0	0	27395	mitochondrial ribosomal protein L15	Mrpl15	chr1	4773200	4785726
18777	5.10228828919338	-0.413048846856936	-0.276906678586434	-0.344977762721685	-0.136142168270502	0	0	0	0	0.97054102613671	0.986473947480891	0.989497923956322	0.995033693992624	0	0	0	0	18777	lysophospholipase 1	Lypla1	chr1	4807893	4842827
21399	4.22329479567909	-0.211973071891578	0.0915960829585858	-0.0601884944664963	-0.303569154850163	0	0	0	0	0.997076835734974	0.998997850063421	0.999762407674032	0.993787827578915	0	0	0	0	21399	transcription elongation factor A (SII) 1	Tcea1	chr1	4857694	4897909
108664	6.10609100835746	-0.347868404329247	-0.0550094420440859	-0.201438923186666	-0.292858962285161	0	0	0	0	0.998732661584518	0.999946784890506	0.999897040930596	0.999229870390521	0	0	0	0	108664	ATPase, H+ transporting, lysosomal V1 subunit H	Atp6v1h	chr1	5083086	5099777
12421	5.96900634245128	-0.0455695098761488	0.156108852247134	0.0552696711854921	-0.201678362123283	0	0	0	0	0.997866571762473	0.991491817304603	0.998707738959984	0.988473449908939	0	0	0	0	12421	RB1-inducible coiled-coil 1	Rb1cc1	chr1	6214662	6276104
620393	0.147212872408663	-3.1973890554747	-2.47826934892269	-2.83782920219869	-0.719119706552013	-6.02965293283539	-4.25293587553824	-6.61680022263441	0	6.19068396564457e-05	0.000828571980914411	2.88310208173132e-05	0.73025788464533	-1	-1	-1	0	620393	ALK and LTK ligand 1	Alkal1	chr1	6359331	6394731
319263	5.90328920379202	-0.86850697424483	-0.115772933705016	-0.492139953974923	-0.752734040539814	0	0	0	0	0.682865741872991	0.997189572997451	0.974525458119252	0.809104865304564	0	0	0	0	319263	protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1	Pcmtd1	chr1	7088920	7173628
59014	3.63529553314487	0.849702980726519	0.705149501216604	0.777426240971562	0.144553479509915	0	0	0	0	0.811969196602254	0.942402584712663	0.916986466487834	0.999915299769271	0	0	0	0	59014	ribosome biogenesis regulator 1	Rrs1	chr1	9545408	9547455
