A	Coef.BasalvsNon	Coef.BasalvsAirway	Coef.BasalvsEpCAM	t.BasalvsNon	t.BasalvsAirway	t.BasalvsEpCAM	p.value.BasalvsNon	p.value.BasalvsAirway	p.value.BasalvsEpCAM	Res.BasalvsNon	Res.BasalvsAirway	Res.BasalvsEpCAM	Genes.ENTREZID	Genes.GENENAME	Genes.SYMBOL	Genes.TXCHROM	Genes.TXSTART	Genes.TXEND
497097	-1.73457283547381	2.02537429202695	5.62082116781108	3.50950883668078	3.96167770218273	12.2148203405734	5.89188958922981	0.000667621250234914	2.56419482288581e-09	1.71153835058403e-05	1	1	1	497097	X-linked Kx blood group related 4	Xkr4	chr1	3214482	3671498
19888	1.05455851239681	-5.4742853549909	-7.89346146550035	-3.37733187817556	-5.66804825215897	-8.9573672129482	-2.53097439703162	2.59406303686862e-05	1.43159431366292e-07	0.0119289187043149	-1	-1	-1	19888	retinitis pigmentosa 1 (human)	Rp1	chr1	4290846	4409241
20671	-0.555373125706937	-0.28407371262619	-9.55694341447633	-8.64147175604541	0	-6.60780491409745	-5.71384501592903	0.89541896692049	5.40244606961226e-06	2.53660024214403e-05	0	-1	-1	20671	SRY (sex determining region Y)-box 17	Sox17	chr1	4490928	4493735
27395	4.14111802859989	-0.0705037952120842	0.28400199232799	0.175929925641532	0	0	0	0.999999995100111	0.999999820493981	0.999999595769857	0	0	0	27395	mitochondrial ribosomal protein L15	Mrpl15	chr1	4773200	4785726
18777	5.32875321315256	0.344932112327567	0.783062296674902	0.392131196899053	0	0	0	0.997576490553512	0.870129818928512	0.993488705597923	0	0	0	18777	lysophospholipase 1	Lypla1	chr1	4807893	4842827
21399	4.3795447843772	-0.0131809006720616	0.329847822515814	0.225152783211093	0	0	0	0.999999335287905	0.99987426790244	0.999787264616283	0	0	0	21399	transcription elongation factor A (SII) 1	Tcea1	chr1	4857694	4897909
108664	6.1108259481224	-0.473220004680539	-0.235310011341908	-0.479518271965569	0	0	0	0.999345634510442	0.999994063368832	0.999106534762913	0	0	0	108664	ATPase, H+ transporting, lysosomal V1 subunit H	Atp6v1h	chr1	5083086	5099777
12421	6.26650891099908	0.482841881459851	0.889056534625718	0.90030808451655	0	0	0	0.975254155324352	0.693550547666086	0.650730927432338	0	0	0	12421	RB1-inducible coiled-coil 1	Rb1cc1	chr1	6214662	6276104
620393	-2.29200123320537	-0.28407371262619	-5.36588984019922	-8.24687029399011	0	-9.47956365399516	-16.3580078054329	0.900489521371697	6.84040212744121e-08	5.0292031012754e-11	0	-1	-1	620393	ALK and LTK ligand 1	Alkal1	chr1	6359331	6394731
240690	-1.90279404070863	-1.66513238842809	4.6134798770243	3.72050137892062	-3.38260333743148	9.77222552728477	5.47208108076506	0.00214135071102694	4.63841288447899e-08	3.65472232532391e-05	-1	1	1	240690	suppression of tumorigenicity 18	St18	chr1	6487231	6860940
319263	6.06222625635015	0.287266680717324	0.626837332475388	0.0913214927217503	0	0	0	0.998093890879675	0.967967468482457	0.999703519232667	0	0	0	319263	protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1	Pcmtd1	chr1	7088920	7173628
59014	3.99180471085011	0.481033072814965	0.788888967919235	1.5243795334155	0	0	3.14238095946157	0.999840563341871	0.959861776793355	0.0034774905233693	0	0	1	59014	ribosome biogenesis regulator 1	Rrs1	chr1	9545408	9547455
