GeneID	Length	CD24-H-5
497097	3634	0
100503874	3259	0
100038431	1634	0
19888	9747	783
20671	3130	92
27395	4203	185
18777	2433	482
100503730	799	1
21399	2847	283
58175	2241	5
108664	1976	914
18387	4707	0
226304	3692	4
12421	7046	1061
620393	858	8
240690	6161	0
319263	5232	730
71096	4193	0
59014	2048	206
76187	3139	377
72481	1246	12
76982	3187	3
17864	3564	15
70675	5179	467
73331	1494	0
170755	5622	139
620986	451	89
240697	2553	2
73824	407	68
266793	74	3
100038398	2646	38
100039596	501	6
69312	1502	328
26754	1240	1368
211660	4354	2698
211673	7042	2478
329093	1930	0
109294	11187	248
320492	8293	945
329096	3200	0
240725	4864	64
240726	8512	2
383491	2593	0
17978	8213	1141
72265	2888	1438
212442	1889	457
381246	1926	0
433273	1245	0
14048	4345	140
17681	1717	2
277328	4263	0
98741	5309	10
21749	1633	234
226866	2748	5
665434	572	0
75799	717	181
19989	934	1851
98711	2295	293
29819	2890	82
66799	2354	375
67923	955	533
329101	2788	4
70397	1732	253
17087	603	23
57339	4809	17
14545	3938	2
94227	6923	29
83691	4006	6
78081	1192	0
654454	222	0
654460	258	0
77673	469	0
654464	256	0
226896	1753	0
21419	6391	0
241035	12928	9
75028	786	0
387202	73	0
723817	119	0
16171	1171	0
257630	1178	3
17215	2886	49
77741	1120	6
74229	4420	199
71877	2208	3219
170829	1409	21
75712	1112	164
14859	1450	1202
241041	1148	37
368204	1950	0
433278	844	1
98582	2247	0
226922	6980	8
116837	4066	3
66755	1781	0
387225	71	0
723964	84	1
70155	4844	104
100503399	1522	0
280645	4362	21
98366	2259	293
68002	667	258
68187	6467	520
12839	3888	1
12823	10542	1
68421	5392	1459
210933	5522	1
100504323	1551	0
210940	4331	0
433281	2004	0
665903	467	40
210962	2882	0
623924	306	0
791350	1160	0
213109	7561	1835
19243	4129	707
70988	1094	1
266744	1903	2
74708	1449	0
226957	914	0
624262	762	0
170771	1359	0
408192	1437	0
408191	3748	0
19076	1937	53
67503	889	17
19335	4487	676
213539	1815	620
98403	3650	278
433287	3016	73
320705	2292	0
13518	23242	1143
100628580	79	0
69668	1705	138
27993	2249	238
52318	3559	105
19253	1578	202
21755	1246	0
12627	1038	0
21756	1301	0
211383	4356	0
241051	2676	0
226970	2714	215
214469	5080	1717
226971	5469	932
50785	3719	1372
320011	9029	1203
214854	2583	286
214855	5699	1055
226976	4663	1514
214895	2225	428
94220	4582	367
94218	5283	316
78321	1954	180
109346	1786	168
20353	3805	170
381337	2577	6
12859	569	343
226977	2077	1405
71166	1127	0
22637	2180	1016
56030	6548	1260
70853	4422	2000
12790	3498	1
269180	6817	837
76178	3862	374
67387	1412	391
269181	7054	654
77633	2755	0
100861893	736	0
72097	4361	2209
100503734	2218	4
211484	3400	1494
623661	1555	67
69028	1229	189
107734	691	238
332427	2564	0
69541	798	0
98258	4596	577
226982	7797	1228
56210	4262	162
16764	6010	81
381338	5077	1
98388	3120	0
100503760	2386	0
433292	1001	0
68833	1706	927
18143	4180	464
114641	1254	29
54610	4440	828
52846	3170	381
100217461	94	2
67702	2434	735
263764	5799	4
619289	2000	2
100042065	359	0
73426	531	0
26921	5974	1163
100047133	858	0
16178	1343	33
16177	5035	1964
107527	1950	185
17082	6967	7
16182	4781	4959
16174	2487	7
110895	3822	5
226999	3493	163
211798	3152	144
381339	1096	1
74897	573	0
66297	546	0
18993	3065	0
73100	2841	0
69527	1419	331
93690	3860	0
73122	5538	557
98404	3457	261
14200	1563	405
